x,HUF/USD
2016-10-02 17:01:23,275.188000
2016-10-02 17:02:49,275.233000
2016-10-02 17:02:50,275.255000
2016-10-02 17:02:51,275.233000
2016-10-02 17:03:17,275.140000
2016-10-02 17:03:26,275.213000
2016-10-02 17:03:29,275.213000
2016-10-02 17:03:30,275.220000
2016-10-02 17:03:57,275.208000
2016-10-02 17:03:59,275.184000
2016-10-02 17:04:01,275.159000
2016-10-02 17:04:06,275.152000
2016-10-02 17:04:15,275.159000
2016-10-02 17:04:17,275.147000
2016-10-02 17:05:45,275.171000
2016-10-02 17:05:46,275.184000
2016-10-02 17:06:00,275.147000
2016-10-02 17:06:01,275.171000
2016-10-02 17:06:07,275.147000
2016-10-02 17:06:08,275.171000
2016-10-02 17:06:17,275.086000
2016-10-02 17:06:18,275.147000
2016-10-02 17:06:28,275.152000
2016-10-02 17:06:29,275.147000
2016-10-02 17:06:31,275.140000
2016-10-02 17:07:21,275.123000
2016-10-02 17:07:47,275.127000
2016-10-02 17:08:23,275.115000
2016-10-02 17:08:33,275.054000
2016-10-02 17:08:39,275.110000
2016-10-02 17:08:40,275.123000
2016-10-02 17:08:44,275.098000
2016-10-02 17:09:26,275.079000
2016-10-02 17:09:27,275.030000
2016-10-02 17:09:35,275.066000
2016-10-02 17:10:09,275.030000
2016-10-02 17:10:10,275.061000
2016-10-02 17:10:29,275.091000
2016-10-02 17:10:30,275.098000
2016-10-02 17:11:44,275.108000
2016-10-02 17:11:46,275.098000
2016-10-02 17:11:50,275.066000
2016-10-02 17:11:52,275.082000
2016-10-02 17:12:12,275.077000
2016-10-02 17:12:25,275.080000
2016-10-02 17:12:30,275.109000
2016-10-02 17:12:50,275.127000
2016-10-02 17:12:52,275.117000
2016-10-02 17:13:00,275.127000
2016-10-02 17:13:11,275.115000
2016-10-02 17:13:56,275.049000
2016-10-02 17:13:59,275.079000
2016-10-02 17:14:22,275.086000
2016-10-02 17:14:33,275.066000
2016-10-02 17:14:36,275.074000
2016-10-02 17:14:56,275.086000
2016-10-02 17:14:59,275.074000
2016-10-02 17:15:02,275.066000
2016-10-02 17:15:04,275.037000
2016-10-02 17:15:05,275.005000
2016-10-02 17:15:06,275.000000
2016-10-02 17:15:21,275.030000
2016-10-02 17:15:22,275.025000
2016-10-02 17:15:25,275.030000
2016-10-02 17:15:57,275.000000
2016-10-02 17:16:10,275.025000
2016-10-02 17:16:35,275.042000
2016-10-02 17:16:47,275.054000
2016-10-02 17:17:09,275.133000
2016-10-02 17:17:23,275.139000
2016-10-02 17:17:27,275.003000
2016-10-02 17:17:35,275.121000
2016-10-02 17:17:47,275.140000
2016-10-02 17:18:04,275.103000
2016-10-02 17:18:24,275.098000
2016-10-02 17:20:19,275.159000
2016-10-02 17:20:42,275.184000
2016-10-02 17:20:43,275.213000
2016-10-02 17:20:56,275.225000
2016-10-02 17:20:57,275.213000
2016-10-02 17:21:00,275.220000
2016-10-02 17:21:03,275.213000
2016-10-02 17:21:25,275.225000
2016-10-02 17:21:26,275.213000
2016-10-02 17:21:44,275.159000
2016-10-02 17:21:47,275.196000
2016-10-02 17:22:24,275.184000
2016-10-02 17:22:25,275.196000
2016-10-02 17:22:32,275.184000
2016-10-02 17:22:37,275.189000
2016-10-02 17:22:38,275.201000
2016-10-02 17:22:40,275.208000
2016-10-02 17:22:42,275.184000
2016-10-02 17:23:45,275.159000
2016-10-02 17:24:17,275.147000
2016-10-02 17:25:00,275.146000
2016-10-02 17:25:02,275.135000
2016-10-02 17:25:22,275.129000
2016-10-02 17:25:42,275.128000
2016-10-02 17:26:42,275.129000
2016-10-02 17:26:52,275.141000
2016-10-02 17:27:02,275.142000
2016-10-02 17:28:01,275.038000
2016-10-02 17:28:22,274.999000
2016-10-02 17:28:26,275.159000
2016-10-02 17:28:35,275.164000
2016-10-02 17:28:36,275.164000
2016-10-02 17:29:49,275.162000
2016-10-02 17:30:04,275.155000
2016-10-02 17:30:20,275.147000
2016-10-02 17:30:52,275.000000
2016-10-02 17:31:06,274.970000
2016-10-02 17:31:08,274.935000
2016-10-02 17:31:20,274.877000
2016-10-02 17:31:25,274.847000
2016-10-02 17:31:42,274.816000
2016-10-02 17:31:58,274.815000
2016-10-02 17:32:02,274.805000
2016-10-02 17:32:12,274.804000
2016-10-02 17:32:22,274.784000
2016-10-02 17:32:32,274.783000
2016-10-02 17:32:42,274.792000
2016-10-02 17:32:53,274.790000
2016-10-02 17:33:02,274.780000
2016-10-02 17:33:10,274.778000
2016-10-02 17:33:16,274.721000
2016-10-02 17:33:17,274.731000
2016-10-02 17:33:30,274.730000
2016-10-02 17:33:32,274.720000
2016-10-02 17:33:52,274.710000
2016-10-02 17:33:58,274.709000
2016-10-02 17:33:59,274.709000
2016-10-02 17:34:12,274.709000
2016-10-02 17:34:29,274.708000
2016-10-02 17:34:32,274.698000
2016-10-02 17:34:51,274.697000
2016-10-02 17:35:19,274.696000
2016-10-02 17:35:32,274.686000
2016-10-02 17:35:45,274.685000
2016-10-02 17:35:59,274.825000
2016-10-02 17:36:02,274.965000
2016-10-02 17:36:22,274.975000
2016-10-02 17:36:25,274.970000
2016-10-02 17:36:30,274.975000
2016-10-02 17:36:35,274.976000
2016-10-02 17:37:01,274.966000
2016-10-02 17:37:03,274.976000
2016-10-02 17:37:24,274.975000
2016-10-02 17:37:28,275.123000
2016-10-02 17:37:58,274.786000
2016-10-02 17:38:21,274.785000
2016-10-02 17:38:32,274.765000
2016-10-02 17:38:42,274.717000
2016-10-02 17:38:43,274.695000
2016-10-02 17:38:51,274.694000
2016-10-02 17:39:02,274.684000
2016-10-02 17:39:12,274.654000
2016-10-02 17:39:15,274.654000
2016-10-02 17:39:24,274.654000
2016-10-02 17:39:32,274.664000
2016-10-02 17:39:51,274.644000
2016-10-02 17:40:08,274.634000
2016-10-02 17:40:26,274.654000
2016-10-02 17:40:42,274.644000
2016-10-02 17:40:52,274.634000
2016-10-02 17:41:09,274.634000
2016-10-02 17:41:24,274.694000
2016-10-02 17:41:25,274.905000
2016-10-02 17:41:40,274.906000
2016-10-02 17:41:42,274.896000
2016-10-02 17:41:47,274.896000
2016-10-02 17:41:48,274.896000
2016-10-02 17:41:50,274.897000
2016-10-02 17:41:57,274.897000
2016-10-02 17:41:59,274.907000
2016-10-02 17:42:01,274.907000
2016-10-02 17:42:05,274.908000
2016-10-02 17:42:15,274.878000
2016-10-02 17:42:20,274.879000
